Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
Dallas,0.553,0.507,164.6,26.1,70.7,48.7,56.6,11.4,7.5,6.9,1.2,64.2,112,107.5,4.5,"7,703.70",93
Sacramento,0.539,0.497,158.5,27.9,71.7,50.2,59.9,12.4,9.4,6.3,1.2,68.1,109,101.1,7.9,"7,866.30",95.6
L.A. Lakers,0.534,0.498,151.4,28.8,72,50.6,59.7,11.8,8.2,8.7,1.2,64.5,109.4,101.7,7.7,"7,589.80",92.1
Orlando,0.533,0.493,157.6,26.3,69.2,47.6,58.4,12.6,8.6,6.8,1.2,60.6,107,105.4,1.7,"7,699.00",93.2
Minnesota,0.532,0.49,163.7,31.3,73.7,52.8,62.8,12.5,7,8,1.2,63.4,109,105.3,3.7,"7,471.10",90.5
Seattle,0.54,0.505,160.3,29.4,68.1,49.1,61.5,13.2,9.5,7,1.2,61.4,108.9,105.6,3.4,"7,356.60",89
Golden State,0.499,0.452,147.3,35.2,69.4,51.9,56.9,14.7,8.4,9,1.1,57.1,102.8,108.5,-5.7,"7,790.10",94.5
Milwaukee,0.544,0.507,158.5,25.6,70.9,49.3,60.7,13.6,8,7.1,1.2,59.7,106.9,107.1,-0.2,"7,482.10",90.2
Indiana,0.527,0.477,155.7,27,71,49.5,64.2,14.2,8.6,7.8,1.2,58.7,104.1,103.8,0.3,"7,625.00",91.9
San Antonio,0.539,0.492,156.1,27.2,71.9,50.3,56.4,13.8,8.4,9.5,1.2,60.3,106.5,99.7,6.8,"7,448.00",90
Portland,0.528,0.485,156.7,31.8,73.3,52.3,64.1,13.5,9.5,7,1.2,62,107.4,104,3.3,"7,381.70",89.3
Boston,0.52,0.476,154.7,24.1,72.9,47.9,60.4,12.8,10.4,5.8,1.2,57.9,103.4,101,2.4,"7,640.80",92.5
New Jersey,0.515,0.476,151.9,29.2,71.6,50.3,65.4,13.4,9.4,8.9,1.2,61.8,103.9,99.4,4.5,"7,593.50",91.9
Utah,0.529,0.472,154.5,33.5,71.7,52.5,69.7,15.4,10,10.4,1.2,60.3,105.6,104.6,1,"7,457.10",90.3
L.A. Clippers,0.519,0.476,154.1,31.3,69.9,50.8,57.7,13.8,6.9,9.4,1.2,58.2,105.5,106,-0.5,"7,434.30",90.1
Cleveland,0.524,0.477,159.7,28.9,72.8,51,64.1,13.8,7.6,8.6,1.2,58.7,104.6,108.2,-3.7,"7,469.90",90.3
Phoenix,0.51,0.472,154,30.1,70.2,49.9,59.3,13.6,8.8,7.4,1.1,57.5,103.3,104,-0.7,"7,554.50",91.4
Detroit,0.54,0.497,158.4,24.4,70.5,47.6,62,14.3,8.8,10.2,1.2,58.9,104.8,102.4,2.4,"7,380.30",90
Atlanta,0.517,0.471,155.8,27.5,70.9,49.1,57,14.6,8.8,6.5,1.2,54.2,101.8,106.4,-4.6,"7,572.10",91.9
Charlotte,0.513,0.466,153.3,30.6,72.2,51.5,60.8,13.3,8.8,8.4,1.2,58.3,104.3,103.3,1.1,"7,380.30",89.7
Washington,0.508,0.464,159.4,30.7,71.4,50.8,58.4,12.5,7.8,6.6,1.1,55.3,104.8,106.4,-1.6,"7,261.50",88.3
Houston,0.507,0.465,150.4,29,69.8,49.2,52.2,13.6,7.3,7.6,1.1,52.9,103,108.5,-5.5,"7,349.50",88.3
Denver,0.495,0.455,149.7,30.6,69.9,49.3,62.3,13.6,8.2,8.6,1.1,54,101.4,107.8,-6.4,"7,455.70",90.3
New York,0.514,0.468,157.2,25.6,71.9,48.8,61.1,14,7.5,5.4,1.2,52,101.4,105.8,-4.4,"7,408.60",89.8
Toronto,0.501,0.463,152.2,31.4,70.1,50.1,60.9,13.6,9.4,8.6,1.1,56,102.6,103.1,-0.5,"7,306.50",88.8
Philadelphia,0.507,0.452,151.4,31.7,72.1,52.1,58.4,14.6,9.6,7,1.2,55.4,102.1,100.3,1.8,"7,307.30",88.9
Memphis,0.501,0.462,145.1,27.7,68,47.9,62.5,15.6,8.6,8.5,1.1,53.9,98,106.1,-8.1,"7,523.70",91.3
Chicago,0.499,0.456,150,26.6,71.4,48.4,64.6,14.7,8.5,6.8,1.1,51,98.1,107.4,-9.4,"7,478.70",90.6
Miami,0.501,0.463,151,26.6,74,50.5,59.4,14.6,7.5,8.7,1.1,50.7,98.5,100.2,-1.7,"7,260.00",87.4
