Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Win,Loss,Win%,HG,HGW,HGW%,Attendance
Minnesota,82,48.2,115.9,41.6,91,0.457,14.8,41.3,0.358,18,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,46,36,0.561,41,26,0.634,16028
Memphis,82,48.2,115.6,43.5,94.4,0.461,11.5,32.7,0.353,17,23.1,0.734,14.1,35,49.2,26,9.8,6.5,13.2,19.8,56,26,0.683,41,30,0.732,15775
Milwaukee,82,48.2,115.5,41.8,89.4,0.468,14.1,38.4,0.366,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,51,31,0.622,41,27,0.659,17453
Charlotte,82,48.5,115.3,42.8,91.4,0.468,13.9,38.2,0.365,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,43,39,0.524,41,22,0.537,17091
Phoenix,82,48.1,114.8,43.7,90.1,0.485,11.6,31.9,0.364,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,64,18,0.780,41,32,0.780,16567
Atlanta,82,48.1,113.9,41.5,88.3,0.47,12.9,34.4,0.374,18.1,22.3,0.812,10,33.9,44,24.6,7.2,4.2,11.8,18.7,43,39,0.524,41,27,0.659,16408
Utah,82,48.1,113.6,40.6,86.2,0.471,14.5,40.3,0.36,17.9,23.4,0.767,10.8,35.6,46.3,22.4,7.2,4.9,14,18.9,49,33,0.598,41,29,0.707,18306
San Antonio,82,48.3,113.2,43.2,92.7,0.467,11.3,32,0.352,15.4,20.4,0.754,11,34.3,45.3,27.9,7.6,4.9,12.7,18.1,34,48,0.415,41,16,0.390,15014
Brooklyn,82,48.2,112.9,42,88.4,0.475,11.5,31.7,0.361,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,44,38,0.537,41,20,0.488,17354
Denver,82,48.3,112.7,41.7,86.3,0.483,12.7,35.9,0.353,16.7,21,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20,48,34,0.585,41,23,0.561,16957
L.A. Lakers,82,48.7,112.1,41.6,88.8,0.469,12,34.5,0.347,16.8,23,0.732,9.5,34.5,44,24,7.6,5.2,14.5,20.2,33,49,0.402,41,21,0.512,18649
Boston,82,48.5,111.8,40.7,87.4,0.466,13.2,37.1,0.356,17,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,51,31,0.622,41,28,0.683,19156
Chicago,82,48.1,111.6,41.7,86.9,0.48,10.6,28.8,0.369,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,46,36,0.561,41,27,0.659,20881
Indiana,82,48.5,111.5,41.4,89.5,0.463,12.2,35.4,0.344,16.4,21.4,0.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,25,57,0.305,41,16,0.390,14359
Golden State,82,48.1,111,40.5,86.4,0.469,14.3,39.4,0.364,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21,53,29,0.646,41,31,0.756,18064
Sacramento,82,48.3,110.3,40.5,88.1,0.46,11.4,33.2,0.344,17.9,23.3,0.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,30,52,0.366,41,16,0.390,14439
Miami,82,48.4,110,39.6,84.8,0.467,13.6,35.8,0.379,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,53,29,0.646,41,29,0.707,19628
Philadelphia,82,48.3,109.9,39.4,84.5,0.466,11.6,31.8,0.364,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,51,31,0.622,41,24,0.585,20655
Houston,82,48.2,109.7,39.4,86.4,0.456,13.5,38.7,0.349,17.5,24.5,0.713,9.6,32.4,42,23.6,7.3,4.7,16.5,20.6,20,62,0.244,41,11,0.268,15584
Toronto,82,48.4,109.4,40.6,91.3,0.445,11.9,34.2,0.349,16.2,21.3,0.759,13.4,32,45.3,22.1,9,4.6,12.4,19.6,48,34,0.585,41,24,0.585,18873
New Orleans,82,48.2,109.3,40.2,88,0.457,10.6,32.1,0.332,18.3,23.2,0.789,12,33.2,45.2,25,8.3,4,14,19.7,36,46,0.439,41,19,0.463,15510
Washington,82,48.4,108.6,40.6,86,0.472,10.5,30.6,0.342,17,21.7,0.783,9,34.1,43.1,25,6.4,5,13.1,18.8,35,47,0.427,41,21,0.512,15541
L.A. Clippers,82,48.2,108.4,40.1,87.4,0.458,12.8,34.2,0.374,15.5,19.6,0.793,9.1,34.9,44,24,7.4,5,13.7,18.6,42,40,0.512,41,25,0.610,16926
Dallas,82,48.2,108,39.3,85.1,0.461,13.1,37.4,0.35,16.4,21.2,0.771,9.3,33.8,43,23.4,6.7,4,12.5,19.7,52,30,0.634,41,29,0.707,19739
Cleveland,82,48.1,107.8,39.7,84.6,0.469,11.6,32.8,0.355,16.8,22.1,0.76,10.2,34,44.2,25.2,7.1,4.2,14.4,17.5,44,38,0.537,41,25,0.610,18493
New York,82,48.2,106.5,37.7,86.2,0.437,13.2,36.9,0.357,18,24.1,0.744,11.5,34.6,46.1,21.9,7,4.9,13.2,20.4,37,45,0.451,41,17,0.415,18621
Portland,82,48.1,106.2,38.5,87.1,0.442,12.7,36.8,0.346,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,27,55,0.329,41,17,0.415,17209
Detroit,82,48.2,104.8,38.2,88.6,0.431,11.3,34.6,0.326,17.2,22,0.782,11,32,43,23.5,7.7,4.8,14.1,21.9,23,59,0.280,41,13,0.317,16184
Orlando,82,48.2,104.2,38.3,88.3,0.434,12.2,36.9,0.331,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,22,60,0.268,41,12,0.293,15192
Oklahoma City,82,48.3,103.7,38.3,89.1,0.43,12.1,37.4,0.323,15,19.9,0.756,10.4,35.2,45.6,22.2,7.6,4.6,13.9,18.3,24,58,0.293,41,12,0.293,14877
