Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Boston,24,48,105.5,36.7,81.8,0.449,13.7,36.6,0.373,18.5,23.2,0.797,9,33.9,42.9,24.5,6.4,6.3,14.7,20.7
Golden State,22,48,111.9,41.4,86.1,0.48,14,37.3,0.375,15.1,19.8,0.766,9.8,34.1,43.9,27,7.7,5,14.5,21.5
Dallas,18,48,106.3,36.3,80.8,0.449,15.8,41.5,0.38,18,23.3,0.771,6.5,30,36.5,19.2,7.2,2.8,10.2,21.1
Miami,18,48,104.2,38,85.3,0.445,10.9,34.8,0.313,17.3,21.6,0.804,9.8,31.2,41.1,21.9,8.3,3.7,12.9,21.4
Phoenix,13,48,107.6,41.2,82.8,0.497,9.8,27.2,0.363,15.5,18.9,0.817,9.5,30.7,40.2,25.7,6.6,3.8,13.3,22.5
Philadelphia,12,48.4,104.5,36.4,78.3,0.465,12.4,33.3,0.373,19.3,22.7,0.849,7.7,31.3,39,21.8,6.1,4.3,14.8,20.6
Milwaukee,12,48,102.8,38.5,88,0.438,10.6,32.3,0.327,15.2,20.8,0.731,9.8,40.7,50.4,20.8,6.3,4.5,13.8,19.2
Memphis,12,48,112.5,39.8,91.3,0.435,13.1,35.8,0.365,19.9,27.1,0.735,12.4,33.4,45.8,25.2,9.2,6.1,14,20.8
Toronto,6,48.8,103.2,38.3,86,0.446,9.8,32.8,0.299,16.7,21,0.794,10,27.5,37.5,20.7,6.7,4.8,10,22.2
New Orleans,6,48,109.8,39,84.3,0.462,9.3,26.3,0.354,22.5,28.8,0.78,15.2,30.5,45.7,21.3,6.3,3.5,14.5,21.2
Utah,6,48,99,35,79,0.443,8.2,29.8,0.274,20.8,26.5,0.786,9.3,35.5,44.8,17.2,4,3.7,11.8,22
Minnesota,6,48,109.2,36.3,82,0.443,13.8,35.7,0.388,22.7,28,0.81,7,33,40,22.8,8.2,7.8,17.7,26.8
Chicago,5,48,95.2,36.4,90.2,0.404,10.4,36.8,0.283,12,14.4,0.833,8.2,35.8,44,23,7.8,3.2,13,18.6
Denver,5,48,110,39.4,82.8,0.476,11.2,31.4,0.357,20,25.2,0.794,11.2,30.6,41.8,25,7,3.4,16.4,25
Atlanta,5,48,97.4,34.4,78.2,0.44,11.4,35,0.326,17.2,22,0.782,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6
Brooklyn,4,48,109,39.3,78,0.503,11.5,27.3,0.422,19,25.8,0.738,8.5,25.5,34,22.3,8,6.5,15.3,24.8
